iter	Accuracy	MultiClass
0	0.5808394357	1.038225174
1	0.5910771694	0.98969593
2	0.5910771694	0.9502997802
3	0.5913890613	0.9169690287
4	0.59236209	0.8827206058
5	0.6153300473	0.858301242
6	0.6150850602	0.8332075323
7	0.6179126827	0.8112022421
8	0.6180799907	0.7961843317
9	0.6180156293	0.7814885964
10	0.6117959284	0.7675896181
11	0.6120000524	0.7551115832
12	0.6162671932	0.7434752807
13	0.6151821616	0.7333353522
14	0.6150155294	0.7245508675
15	0.6150566219	0.7176643958
16	0.6162962446	0.7113521652
17	0.6162395121	0.7059222538
18	0.61630876	0.7007924269
19	0.6164230872	0.6965362766
20	0.6156294042	0.6925454513
21	0.6191606639	0.6895638771
22	0.6245686173	0.6868590609
23	0.6240875	0.6835588005
24	0.6243193744	0.6797383859
25	0.6249789825	0.6763570183
26	0.6225348575	0.6738834701
27	0.6255452913	0.6718294316
28	0.6288523789	0.6698217728
29	0.628708396	0.6674164344
30	0.6292666184	0.664836762
31	0.6305306367	0.6623589477
32	0.6312692061	0.6601139784
33	0.6305955471	0.657800989
34	0.6314114215	0.6563586305
35	0.6317558806	0.6548161189
36	0.6320851841	0.653272853
37	0.6316811373	0.6507508845
38	0.6335845553	0.6486587955
39	0.6343736515	0.6468352826
40	0.6341988097	0.6459574308
41	0.6352746435	0.6443935813
42	0.6346132447	0.6424328844
43	0.6348333111	0.6416203244
44	0.6352080336	0.6405406091
45	0.6346475645	0.638670382
46	0.6348215258	0.637971644
47	0.6372056822	0.6363940069
48	0.6375944199	0.6358203995
49	0.6374167977	0.6346621668
50	0.6384490158	0.6330242258
51	0.6411546693	0.6312824329
52	0.6410085076	0.6294329056
53	0.6400633048	0.6284970613
54	0.6401772112	0.6276602326
55	0.6389641005	0.6273136329
56	0.6382844968	0.6269149085
57	0.6383409784	0.6266870725
58	0.6392122552	0.6258984286
59	0.6392084638	0.624587612
60	0.6408126538	0.622814874
61	0.6426067174	0.6211623107
62	0.6428030949	0.620481237
63	0.6427977742	0.619996114
64	0.643283424	0.6180678971
65	0.6436220933	0.6180351482
66	0.6437486553	0.6173271115
67	0.6454258114	0.6158873745
68	0.6453065217	0.6157899394
69	0.6461145057	0.6142667589
70	0.6457190928	0.6137431379
71	0.6460133525	0.6137013889
72	0.6472835856	0.6120720794
73	0.6472178394	0.6120452359
74	0.6468368862	0.6119658398
75	0.6469708625	0.6104076507
76	0.6473944452	0.609789638
77	0.6484026388	0.6084130425
78	0.6495265436	0.6069977196
79	0.6499082489	0.606980228
80	0.6503407307	0.6057575828
81	0.6507564662	0.6044500079
82	0.6500090746	0.604313851
83	0.6505802478	0.603696158
84	0.6504513963	0.6032380605
85	0.6505838644	0.6029087444
86	0.6508651662	0.6028894328
87	0.6506737493	0.6027872507
88	0.6507845813	0.6019719148
89	0.6528943753	0.6002436962
90	0.6524524053	0.6000916418
91	0.6530896058	0.5989847277
92	0.6530788557	0.5984541301
93	0.6535436782	0.5969164454
94	0.6533420128	0.5967777465
