iter	Passed	Remaining
0	246	246055
1	387	193402
2	506	168290
3	548	136565
4	605	120532
5	671	111193
6	700	99336
7	745	92475
8	771	84999
9	794	78698
10	818	73597
11	841	69297
12	902	68517
13	1088	76660
14	1235	81147
15	1333	82040
16	1438	83165
17	1567	85517
18	1687	87153
19	1813	88885
20	1902	88697
21	2031	90309
22	2161	91808
23	2245	91330
24	2355	91870
25	2448	91720
26	2582	93075
27	2674	92829
28	2775	92918
29	2864	92613
30	2964	92653
31	3092	93548
32	3218	94307
33	3366	95653
34	3468	95623
35	3553	95144
36	3666	95415
37	3775	95569
38	3918	96563
39	4028	96672
40	4134	96700
41	4270	97399
42	4417	98325
43	4533	98504
44	4631	98284
45	4761	98742
46	4887	99104
47	5004	99258
48	5140	99770
49	5258	99912
50	5381	100128
51	5512	100500
52	5645	100877
53	5735	100468
54	5893	101266
55	5971	100656
56	6061	100279
57	6212	100902
58	6354	101343
59	6460	101220
60	6559	100968
61	6666	100858
62	6744	100310
63	6858	100305
64	6988	100532
65	7115	100699
66	7231	100703
67	7384	101207
68	7452	100548
69	7563	100482
70	7673	100409
71	7807	100630
72	7890	100197
73	7973	99781
74	8101	99913
75	8270	100547
76	8423	100970
77	8493	100398
78	8593	100184
79	8705	100111
80	8809	99947
81	8953	100230
82	9122	100786
83	9226	100609
84	9352	100673
85	9460	100547
86	9539	100110
87	9633	99840
88	9774	100053
89	9934	100453
90	10028	100177
91	10155	100232
92	10271	100172
93	10393	100177
94	10523	100245
95	10665	100429
96	10800	100540
97	10929	100592
98	11024	100336
99	11178	100609
100	11302	100603
101	11431	100640
102	11571	100773
103	11657	100432
104	11775	100375
105	11880	100198
106	11936	99616
107	12043	99468
108	12173	99513
109	12248	99105
110	12356	98960
111	12461	98803
112	12545	98477
113	12579	97767
114	12621	97126
115	12651	96415
116	12707	95901
117	12749	95299
118	12779	94614
119	12806	93917
120	12842	93293
121	12881	92703
122	12914	92083
123	12945	91452
124	12967	90772
125	12988	90091
126	13016	89477
127	13045	88871
128	13072	88263
129	13098	87655
130	13120	87038
131	13143	86426
132	13171	85859
133	13191	85254
134	13211	84653
135	13239	84106
136	13260	83530
137	13282	82967
138	13304	82410
139	13326	81863
140	13345	81304
141	13369	80781
142	13393	80268
143	13419	79772
144	13446	79290
145	13469	78785
146	13491	78285
147	13513	77792
148	13539	77327
149	13566	76878
150	13589	76405
151	13616	75965
152	13641	75519
153	13661	75051
154	13684	74603
155	13706	74153
156	13730	73723
157	13757	73313
158	13779	72884
159	13799	72448
160	13823	72038
161	13846	71627
162	13871	71227
163	13891	70814
164	13911	70401
165	13936	70016
166	13963	69647
167	13986	69265
168	14008	68881
169	14035	68523
170	14053	68129
171	14076	67764
172	14096	67387
173	14117	67015
174	14137	66646
175	14164	66314
176	14184	65954
177	14205	65602
178	14228	65260
179	14255	64939
180	14278	64608
181	14302	64284
182	14326	63960
183	14356	63669
184	14384	63368
185	14416	63090
186	14439	62778
187	14462	62466
188	14483	62148
189	14502	61826
190	14524	61518
191	14544	61208
192	14569	60921
193	14592	60627
194	14614	60332
195	14635	60037
196	14657	59746
197	14680	59465
198	14701	59176
199	14722	58891
200	14743	58607
201	14771	58355
202	14797	58096
203	14824	57846
204	14845	57570
205	14866	57299
206	14887	57033
207	14908	56765
208	14935	56526
209	14962	56288
210	14985	56037
211	15014	55808
212	15038	55563
213	15060	55314
214	15086	55084
215	15116	54868
216	15136	54618
217	15159	54379
218	15179	54134
219	15205	53909
220	15227	53675
221	15248	53436
222	15283	53250
223	15310	53038
224	15332	52812
225	15356	52592
226	15378	52367
227	15399	52142
228	15423	51927
229	15443	51703
230	15469	51499
231	15493	51288
232	15514	51072
233	15536	50857
234	15560	50653
235	15580	50439
236	15602	50230
237	15624	50025
238	15651	49836
239	15672	49628
240	15695	49430
241	15720	49240
242	15745	49050
243	15763	48842
244	15784	48643
245	15805	48443
246	15829	48257
247	15848	48056
248	15869	47863
249	15890	47670
250	15912	47484
251	15932	47291
252	15955	47110
253	15976	46922
254	15997	46736
255	16018	46554
256	16042	46379
257	16064	46199
258	16084	46019
259	16104	45834
260	16124	45656
261	16145	45479
262	16174	45325
263	16197	45155
264	16219	44984
265	16241	44817
266	16264	44652
267	16292	44500
268	16312	44329
269	16335	44166
270	16355	43996
271	16379	43838
272	16401	43678
273	16422	43514
274	16444	43354
275	16468	43200
276	16491	43043
277	16509	42876
278	16532	42722
279	16552	42562
280	16577	42416
281	16599	42265
282	16620	42108
283	16640	41953
284	16663	41805
285	16683	41649
286	16705	41502
287	16725	41348
288	16749	41206
289	16769	41056
290	16792	40913
291	16812	40763
292	16832	40617
293	16852	40470
294	16882	40345
295	16907	40212
296	16936	40088
297	16962	39959
298	16989	39831
299	17013	39698
300	17037	39565
301	17057	39423
302	17078	39285
303	17099	39147
304	17125	39024
305	17146	38888
306	17168	38754
307	17197	38637
308	17223	38515
309	17243	38380
310	17261	38242
311	17284	38114
312	17304	37982
313	17325	37852
314	17346	37722
315	17373	37604
316	17399	37488
317	17421	37362
318	17445	37242
319	17466	37117
320	17487	36989
321	17506	36862
322	17526	36736
323	17548	36613
324	17570	36493
325	17597	36382
326	17618	36260
327	17648	36157
328	17671	36040
329	17693	35923
330	17714	35802
331	17738	35691
332	17760	35573
333	17781	35456
334	17806	35348
335	17826	35227
336	17850	35117
337	17870	35001
338	17891	34885
339	17912	34771
340	17933	34657
341	17956	34547
342	17975	34431
343	18001	34329
344	18020	34212
345	18043	34106
346	18068	34002
347	18090	33892
348	18117	33795
349	18139	33687
350	18160	33578
351	18181	33470
352	18203	33365
353	18226	33261
354	18250	33159
355	18272	33055
356	18296	32954
357	18324	32861
358	18349	32763
359	18380	32676
360	18403	32574
361	18428	32479
362	18463	32399
363	18487	32302
364	18509	32202
365	18534	32106
366	18560	32013
367	18589	31925
368	18621	31843
369	18648	31752
370	18676	31664
371	18719	31601
372	18744	31508
373	18765	31409
374	18788	31314
375	18814	31224
376	18848	31148
377	18881	31069
378	18908	30982
379	18930	30886
380	18957	30799
381	18980	30706
382	19001	30610
383	19025	30519
384	19049	30430
385	19077	30346
386	19102	30257
387	19133	30179
388	19160	30095
389	19194	30022
390	19220	29937
391	19251	29858
392	19275	29771
393	19297	29681
394	19318	29588
395	19342	29502
396	19363	29411
397	19386	29323
398	19411	29239
399	19432	29149
400	19453	29058
401	19474	28969
402	19497	28883
403	19524	28803
404	19545	28715
405	19567	28627
406	19587	28539
407	19612	28456
408	19634	28371
409	19655	28284
410	19689	28216
411	19719	28143
412	19744	28062
413	19770	27984
414	19799	27910
415	19823	27828
416	19843	27742
417	19862	27655
418	19891	27581
419	19911	27497
420	19932	27413
421	19960	27338
422	20002	27285
423	20027	27206
424	20053	27131
425	20079	27055
426	20105	26980
427	20126	26898
428	20150	26820
429	20172	26740
430	20193	26659
431	20220	26585
432	20241	26506
433	20262	26425
434	20282	26344
435	20307	26269
436	20329	26191
437	20351	26113
438	20373	26035
439	20393	25955
440	20414	25877
441	20438	25802
442	20461	25727
443	20487	25655
444	20507	25576
445	20529	25500
446	20550	25424
447	20575	25352
448	20601	25281
449	20628	25212
450	20651	25138
451	20679	25071
452	20702	24998
453	20725	24925
454	20746	24850
455	20765	24772
456	20786	24697
457	20808	24624
458	20832	24554
459	20855	24483
460	20875	24407
461	20895	24332
462	20917	24260
463	20938	24187
464	20959	24114
465	20980	24042
466	21005	23973
467	21027	23903
468	21048	23831
469	21067	23756
470	21089	23686
471	21108	23612
472	21128	23540
473	21149	23469
474	21169	23397
475	21190	23326
476	21219	23266
477	21246	23202
478	21272	23137
479	21293	23068
480	21315	22999
481	21337	22931
482	21378	22883
483	21408	22824
484	21429	22754
485	21451	22687
486	21470	22617
487	21492	22549
488	21516	22484
489	21536	22415
490	21557	22348
491	21578	22279
492	21604	22218
493	21625	22150
494	21646	22084
495	21667	22016
496	21694	21956
497	21714	21889
498	21735	21822
499	21754	21754
500	21777	21690
501	21800	21626
502	21819	21559
503	21839	21493
